emission_id,event_id,classification,landcover_class,emission_factor_class,observation_count,fre_mj,dry_matter_burned_kg,co2_kg,ch4_kg,n2o_kg,frp_to_dm_factor_kg_per_mj,fre_method,emission_method
9162b827-4974-53b8-874a-490e920e6585,5db2f4e6-2969-5cf7-95ba-9cdac80fc566,agricultural_burn,cropland,agricultural_residue,2,1124.6999999999998,413.8895999999999,627.0427439999999,1.11750192,0.028972271999999997,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
ed7b6b9a-3385-50f0-ab83-dc6e51339923,ac1a63fe-3f43-5986-b266-242094fddba0,agricultural_burn,cropland,agricultural_residue,4,2601.2999999999997,957.2783999999999,1450.276776,2.58465168,0.067009488,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
4cf5f962-28d4-5165-8726-cfd233dcc9a4,a4427b89-138f-5b14-bbe2-8af7326c83d6,agricultural_burn,cropland,agricultural_residue,11,203737.49999999997,74975.4,113587.73099999999,202.43357999999998,5.248278,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
8a29426b-8167-542c-ba05-ccdc27104e52,36ede8c8-2700-5c6b-883b-c3cd582e04e9,agricultural_burn,cropland,agricultural_residue,5,10515.6,3869.7408,5862.657312,10.44830016,0.27088185600000003,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
53e64e4d-8891-57f1-b0cb-dd3bb83e802a,903bddb2-8a50-53cc-95e5-1350b29ddaa8,agricultural_burn,cropland,agricultural_residue,2,25488.0,9379.584,14210.069760000002,25.324876800000006,0.6565708800000001,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
9a54b149-a7e7-5273-a61f-969336df577d,f7de06f6-87c0-5448-8885-341e4ab325c7,wildfire,shrubland,savanna_grassland,2,4547.099999999999,1673.3327999999997,2699.0858063999995,3.8486654399999987,0.35139988799999994,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
a5109742-86f4-541a-8dc4-21746ff721fc,d5277da7-3bd2-52fa-805f-50812c176a8a,wildfire,cropland,extra_tropical_forest,2,10253.400000000001,3773.2512000000006,5920.2311328000005,17.734280640000005,0.9810453120000002,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
f1028a32-56a3-5dfc-be75-eab3eea90d0b,a117b125-f2d3-5d3a-833b-9dc3436980e8,wildfire,tree_cover,tropical_forest,2,1152.3,424.04639999999995,669.993312,2.8835155199999996,0.08480928,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
e46bb347-89da-5996-ad29-787106c22043,0dd716f7-b6ba-530e-b7ad-d756a0684ab5,agricultural_burn,cropland,agricultural_residue,3,3760.5,1383.864,2096.55396,3.7364328000000007,0.09687048000000001,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
96ca9b76-8a16-5db2-a5c6-d5a6e3d1ace6,4e50c7fa-3311-554a-843d-2020b6e66c24,agricultural_burn,cropland,agricultural_residue,4,9036.0,3325.248,5037.75072,8.978169600000001,0.23276736000000003,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
94c955b7-9bd6-5c70-85a6-15e62679a5a6,26647dd1-8c54-5bb0-a09e-8acd6b896fbe,wildfire,cropland,extra_tropical_forest,3,20466.6,7531.708799999999,11817.251107199998,35.39903136,1.958244288,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
5f9728eb-3116-54f7-bad3-dad0271e5b9d,0ce8e3c1-ca46-5116-92cb-8cc0788649e5,agricultural_burn,cropland,agricultural_residue,2,2808.3,1033.4544,1565.6834160000003,2.7903268800000007,0.07234180800000002,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
73e82050-182e-53db-9c2f-24c504b4ed75,e47d2c30-448a-587e-abec-32ea5225724e,wildfire,cropland,extra_tropical_forest,1,27720.0,10200.96,16005.306239999998,47.944511999999996,2.6522495999999998,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
f31eef58-b724-5b86-ab1c-f2976608acbf,818cf114-48e1-5567-873b-c2318749626d,agricultural_burn,cropland,agricultural_residue,2,7576.200000000001,2788.0416,4223.883024000001,7.527712320000001,0.195162912,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
a2aa0eaa-6fc3-5f44-9d10-5491db643eb2,e87af850-2249-5b24-bb9d-7707d2e97f04,agricultural_burn,cropland,agricultural_residue,4,68554.5,25228.056,38220.50484,68.1157512,1.7659639200000001,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
5c118b7e-621a-5959-94b3-9c138734923a,40504d49-243f-5904-ad09-6d9dd99dff97,wildfire,grassland,savanna_grassland,2,25236.0,9286.848,14979.685823999998,21.359750399999996,1.9502380799999999,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
62222b08-6f6d-5f6f-9fdb-ed7112dc4758,5318045b-768e-5e4d-aa4e-b25afa872a5c,agricultural_burn,cropland,agricultural_residue,4,244562.7,89999.0736,136348.59650400002,242.99749872000004,6.299935152000001,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
73a5a7c9-a9b3-586e-8b7f-0b6a8a05d7fc,b2a08a64-2f3f-5ef2-8549-835391dd5a36,agricultural_burn,cropland,agricultural_residue,5,32507.999999999996,11962.943999999998,18123.860159999997,32.299948799999996,0.8374060799999999,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
2898d345-932d-5e7b-9057-231081e966e9,f151ea3d-c352-566b-b70a-d8c7b113bd62,agricultural_burn,cropland,agricultural_residue,2,9216.0,3391.488,5138.1043199999995,9.157017600000001,0.23740416000000003,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
61cd8777-b124-5b88-98ba-7a1d20879cbf,fc514d22-6ad8-5442-b148-436b46cb83d8,agricultural_burn,cropland,agricultural_residue,1,37116.0,13658.688,20692.91232,36.878457600000004,0.9561081600000001,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
dfc016e8-5dc9-545f-bf93-a58f41bad849,cc3d3d85-46f4-5bc4-b3d2-95f9621e0181,wildfire,grassland,savanna_grassland,2,6230.7,2292.8976,3698.4438287999997,5.27366448,0.4815084959999999,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
6d339f62-d564-5b66-b34a-dcfbeb2fa22b,0a472cff-9c60-5a62-b864-8a9dd29dd0bf,agricultural_burn,cropland,agricultural_residue,4,54727.20000000001,20139.609600000003,30511.508544000004,54.37694592000001,1.4097726720000003,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
4d997c85-04da-5a7d-8b15-1382b5634c30,57853340-fc52-57e9-9a36-b9c18840dbf8,agricultural_burn,cropland,agricultural_residue,2,420.9,154.8912,234.660168,0.41820624000000006,0.010842384,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
f01aadf2-39ef-509d-9dee-458f18231718,939c8c65-2d62-58e4-b606-55169a6f70a7,agricultural_burn,cropland,agricultural_residue,2,793.4999999999999,292.008,442.39212,0.7884216000000001,0.02044056,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
4201e92a-70ec-5970-87df-01ca134ef827,390ff0c4-1824-52c8-874e-d7c6a4f3863a,agricultural_burn,cropland,agricultural_residue,2,717.6,264.0768,400.076352,0.7130073600000001,0.018485376,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
095f9b56-b2ee-5b31-8686-34ef3ceedee9,2e681c0b-e078-5f5b-acf3-ac0bdfea72a6,agricultural_burn,cropland,agricultural_residue,4,10476.0,3855.168,5840.57952,10.4089536,0.26986176000000006,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
3c105dce-460c-5a91-b374-8944253a342a,a1b23eb4-808b-5ed6-9ebf-dbf60eda19ff,wildfire,grassland,savanna_grassland,2,3746.7,1378.7856,2223.9811728,3.1712068799999997,0.28954497599999995,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
0c4fba93-91d2-50a1-97c5-ad86a3acb9a1,2390eabe-54f6-57b2-9ea1-6175ccf28d67,agricultural_burn,cropland,agricultural_residue,4,9342.599999999999,3438.0767999999994,5208.686351999999,9.28280736,0.240665376,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
af81e84a-cdae-587f-bc89-c63081f2a6f6,feb73eac-1065-5190-9953-e1f0384e08a0,wildfire,tree_cover,tropical_forest,2,10188.0,3749.1839999999997,5923.71072,25.494451199999997,0.7498368000000001,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
1d54319e-b14e-5a7b-8a2c-e4b15caed1cd,4e092b89-cf46-5b8e-aa05-e8fc56bb2108,agricultural_burn,cropland,agricultural_residue,2,21384.0,7869.312,11922.007679999999,21.2471424,0.5508518400000001,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
31dfad8c-e906-5b17-90fc-bc4518e726a7,01eb77df-a646-535e-ab08-d4de71e9d264,agricultural_burn,cropland,agricultural_residue,1,91260.0,33583.68,50879.275200000004,90.67593600000001,2.3508576000000003,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
9613750c-6350-5793-aea3-c265b0ca80bb,5dfb1e48-dcf1-5ff5-88d7-80b035093ed7,agricultural_burn,cropland,agricultural_residue,2,5306.1,1952.6448,2958.256872,5.272140960000001,0.13668513600000004,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
84c86fdc-c694-5dcc-bc75-54d885653cac,b5a873fb-bd54-5751-84c6-0ecab030fcd1,agricultural_burn,cropland,agricultural_residue,2,10332.0,3802.176,5760.29664,10.2658752,0.26615232000000005,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
429af5f3-f74a-5fb9-bf26-f7328c9ac0e8,10764cf7-9c69-59fe-b816-0f0cf251c916,agricultural_burn,cropland,agricultural_residue,2,6444.0,2371.392,3592.65888,6.4027584,0.16599744000000002,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
d3cb5bbb-025e-56bb-82ba-304399485dcc,8ab755d1-72c2-5e92-9041-3778ef211a26,agricultural_burn,cropland,agricultural_residue,3,6934.500000000001,2551.896,3866.1224400000006,6.890119200000001,0.17863272000000002,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
f9516469-c7d3-5a08-aeeb-f8d22d724126,b5233971-2c5e-55b0-91f0-8b4fe4671504,wildfire,tree_cover,tropical_forest,4,625011.2999999999,230004.15839999996,363406.570272,1564.0282771199998,46.00083168,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
c8722a0e-84be-53ef-b938-a646f3c42cad,f3093fd1-483b-5b78-87c1-780711f3f9c0,agricultural_burn,cropland,agricultural_residue,2,6292.800000000001,2315.7504000000004,3508.3618560000004,6.252526080000002,0.16210252800000002,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
96c2ed15-518e-5fca-a228-2c305ba930c9,ae5340e7-5511-5c0f-98bd-5ef5a26b1ba5,agricultural_burn,cropland,agricultural_residue,4,187018.8,68822.9184,104266.72137599999,185.82187968000002,4.817604288,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
4ab6d41e-6021-5156-bb9b-0fada57ceff9,882dd2c7-333b-5656-8e3f-bfbd0f3d1827,wildfire,tree_cover,tropical_forest,1,19224.0,7074.432,11177.602560000001,48.1061376,1.4148864,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
96b42cfd-97f1-59d5-b1f0-1fac92366c97,b8e37358-065a-5c4c-ab4b-cec3c1f61bf0,agricultural_burn,cropland,agricultural_residue,3,35316.6,12996.5088,19689.710831999997,35.09057376,0.909755616,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
cbab384a-7cb5-5cbf-bab9-e35c791cb2d9,834b6795-4ef6-5552-9bf5-e2eba1cc1bb9,agricultural_burn,cropland,agricultural_residue,2,6192.0,2278.656,3452.1638399999997,6.1523712,0.15950592,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
13c59e29-0348-5eed-9b92-fb1adbe44b64,679f385a-6969-54ce-a87a-75430cecc349,agricultural_burn,cropland,agricultural_residue,2,23580.0,8677.44,13146.321600000001,23.429088000000004,0.6074208000000001,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
0e574e0a-1548-5fe8-9e03-3cbc95611101,c1d52a8a-d7c5-59bc-b2b8-69a9f6934203,agricultural_burn,cropland,agricultural_residue,1,61344.0,22574.592,34200.50688,60.9513984,1.5802214400000003,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
b56645c7-4018-54ba-989f-067d3c272368,f8e14d13-7e45-51a2-9d1a-5b451d95fbcc,agricultural_burn,cropland,agricultural_residue,6,290277.6,106822.15679999998,161835.567552,288.41982335999995,7.477550976,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
